Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-01,6.3440752029418945,6.4950104928530745,6.297981539087417,6.429936588180568,2124925600
2010-01-08,6.309430122375488,6.4169824100747475,6.1488552772425615,6.335640127419755,2543086000
2010-01-15,6.268457889556885,6.49380579083215,6.202179686585601,6.354620559006004,2544382400
2010-01-22,6.003946304321289,6.438373347888719,5.939777014174497,6.229595490128263,6710648000
2010-01-29,5.785830497741699,6.091616117042472,5.731602026630304,6.057874261150451,4067151200
2010-02-05,5.9852681159973145,6.017805277059839,5.749677284877334,5.803303205101535,2882171600
2010-02-12,6.113607406616211,6.155182374040147,5.889766269603674,5.968396696576398,2058428400
2010-02-19,6.085590839385986,6.121742886476538,5.896094067040922,6.081373408938664,2506820400
2010-02-26,6.347993850708008,6.354320599730492,6.085590838910987,6.097038839669391,2362194800
2010-03-05,6.793566703796387,6.793566703796387,6.466090196298507,6.475429682147545,3251687600
2010-03-12,6.7679619789123535,6.860751908548651,6.63540430449158,6.8499060502706755,2149800800
2010-03-19,6.828213214874268,6.95836106414249,6.6323901001635095,6.772177905160655,2758361200
2010-03-26,7.1089935302734375,7.192142669018149,6.885454046713511,6.897504996300831,2742734400
2010-04-02,7.228898048400879,7.288247768276121,7.0728414694860895,7.07916862023931,2333016000
2010-04-09,7.499134063720703,7.502447672396121,7.244262128652513,7.273485277169927,1754281200
2010-04-16,8.027856826782227,8.036292490764808,7.283727647886292,7.488588946362353,3831612400
2010-04-23,8.09323501586914,8.208318399269894,7.724785574411696,8.07365181498749,3302611200
2010-04-30,7.41869592666626,8.151375906735602,6.00274123591298,8.11341622293286,3889589200
2010-05-07,7.783532619476318,7.983573608977817,6.784832029893906,7.342176529401406,4763323600
2010-05-14,7.1629204750061035,7.78925364007597,7.116223451843279,7.687123862799108,4613518000
2010-05-21,7.632594585418701,7.648863366003005,6.96980769838034,7.014093727711593,4543072800
2010-05-28,7.926933288574219,8.01189006606614,7.632594891210748,7.814561004196825,3030742400
2010-06-04,7.547035217285156,7.89017752908207,7.29668199111175,7.779010344751507,4277002800
2010-06-11,8.190542221069336,8.221573014398684,7.4524384437419045,7.478347181199841,3390326800
2010-06-18,8.104081153869629,8.405648621001793,8.070941031936373,8.201992334847283,3761108400
2010-06-25,7.485878944396973,8.142339576676443,7.327412970933583,8.13601323002895,4030583200
2010-07-02,7.775395393371582,7.920305239729748,7.326808871859195,7.546432188751705,2701778800
2010-07-09,7.575353145599365,7.888670525343187,7.4241169796077005,7.739242001389785,3824038400
2010-07-16,7.803415298461914,7.988091711459544,7.218355260609637,7.627475423343447,4970277200
2010-07-23,7.775997161865234,8.013396007019809,7.715443160264166,7.7452680494043245,2702504000
2010-07-30,7.884151458740234,7.961877649392324,7.679289392867331,7.709115887357147,2003391600
2010-08-06,7.585600852966309,7.8977133191598305,7.414782201322679,7.8263126239129805,2354920400
2010-08-13,7.528053283691406,7.672359731845185,7.429839689593624,7.581377509311027,1862341600
2010-08-20,7.2388386726379395,7.649766341816437,7.146048787346742,7.513292977153303,2464210000
2010-08-27,7.597044944763184,7.597044944763184,7.096640979412119,7.283125784987406,2464932400
2010-09-03,7.925426006317139,8.029362619643361,7.667240472804458,7.6850152192919925,1828472800
2010-09-10,8.332137107849121,8.335149845372825,7.875115685838789,7.929042480809139,2265944800
2010-09-17,8.704201698303223,8.819888405183594,8.24507176472933,8.365878918668521,3332635600
2010-09-24,8.548444747924805,8.879234366965223,8.284836337294282,8.800002212537121,3310400800
2010-10-01,8.713240623474121,8.79669144808419,8.368289793109676,8.620751585602305,2464680400
2010-10-08,9.107598304748535,9.112417880027252,8.736738784816438,8.788254582199713,2710089200
2010-10-15,9.324809074401855,9.610409261850599,9.038605535168307,9.262144958031879,4521073200
2010-10-22,9.195869445800781,9.387473908416146,9.065119863752233,9.311253665254792,2108223600
2010-10-29,9.588415145874023,9.645957193748762,9.06421037196807,9.165436687314203,2439166800
2010-11-05,9.5396146774292,9.67970333627411,9.446220629260843,9.579983746727667,1772066800
2010-11-12,9.291971206665039,9.535093029675496,8.970519836833846,9.520030150344796,2831043600
2010-11-19,9.483882904052734,9.501959333742985,9.195872364546922,9.278118108463808,1711091200
2010-11-26,9.58480453491211,9.61041159534596,9.365482085536323,9.45194563516938,2109816800
2010-12-03,9.633306503295898,9.76074164633457,9.530273320965218,9.550458254737816,1798115200
2010-12-10,9.678194046020508,9.792977291595854,9.598357738188104,9.629991068128207,1792677600
2010-12-17,9.74899673461914,9.812865167379982,9.587216334011131,9.689647006347636,1517972400
2010-12-24,9.750802040100098,9.841181739509057,9.68633027076017,9.72639927187423,746373600
2010-12-31,10.054179191589355,10.099971192690953,9.68000523845395,9.729413329028013,1503675600
2011-01-07,10.414191246032715,10.44311352376489,9.999045704716213,10.062010706825124,1803970000
2011-01-14,10.022547721862793,10.50216435928702,9.821300841447686,10.420521168890884,4090240000
2011-01-21,10.33978271484375,10.411785957072706,9.840281942558114,10.055386641005933,2667854000
2011-01-28,10.346708297729492,10.413288589429166,10.048153655491015,10.368701683599717,2048690000
2011-02-04,10.681116104125977,10.845608371155611,10.348818765170078,10.352734922099845,2599198000
2011-02-11,10.794392585754395,10.993228454114886,10.650989484080183,10.687443209294564,1973904800
2011-02-18,10.329837799072266,10.830543507695578,10.174384566824383,10.80674328374233,2860368000
2011-02-25,10.832351684570312,10.839280578909399,10.387682066895126,10.401539855573303,2342608800
2011-03-04,10.444018363952637,10.895919361382717,10.390694113831312,10.847716363072093,2316552000
2011-03-11,10.081595420837402,10.739562053501993,9.829132826896211,10.403648635949253,3449552400
2011-03-18,10.392804145812988,10.423834943747913,9.941807340962704,10.15661032279456,2266247200
2011-03-25,10.499454498291016,10.674490979795044,10.425644418421566,10.486198449287322,1714591200
2011-04-01,10.18523120880127,10.592242019572438,10.122567068592073,10.577781682962126,2137464000
2011-04-08,10.014711380004883,10.247590728457364,9.942408103114218,10.24066183537171,1850142000
2011-04-15,10.5654296875,10.698891161048024,9.645361251990773,10.041225359073263,2937359600
2011-04-22,10.446426391601562,10.69466946965848,10.409370130973732,10.554580827728753,1322518400
2011-04-29,10.446426391601562,10.663337811219558,10.408767583610116,10.447329810412432,2487626400
2011-05-06,10.441003799438477,10.544338672394389,10.311460124480007,10.53499958947448,1424973200
2011-05-13,10.259037971496582,10.431361687108936,9.96379620518923,10.413587746953857,1824172000
2011-05-20,10.09244155883789,10.27169585223981,9.924334798427045,10.229819195687135,1560280400
2011-05-27,10.42684555053711,10.608509197039039,10.07165224654113,10.086414258042915,1514819600
2011-06-03,9.986695289611816,10.455465973494329,9.961389099542533,10.338875850012714,1913788800
2011-06-10,9.795994758605957,10.03972004183514,9.590229975435312,9.958377722077175,2007784800
2011-06-17,9.978861808776855,9.992719596050119,9.354335437375093,9.911378101403992,2699390400
2011-06-24,10.112626075744629,10.143656876507308,9.793886423630926,9.983082357423156,1749420400
2011-07-01,10.761250495910645,10.785351587664268,10.068336264419605,10.121057955703208,1634656800
2011-07-08,10.778423309326172,10.89411000438458,10.502763889078517,10.644961867024515,2206089200
2011-07-15,11.667765617370605,11.938303037756317,10.82060304994999,10.880856197390017,3344140800
2011-07-22,11.804235458374023,12.186242453846123,11.681619881786876,11.698792079938205,2836475600
2011-07-29,11.368904113769531,12.035607050986123,11.36830156643617,11.678305331463081,3488875600
2011-08-05,11.258347511291504,11.55358947914008,10.635326800891121,11.461401280422885,5051634000
2011-08-12,11.027873039245605,11.597870929229442,10.88688013667518,11.389996056044165,2781766400
2011-08-19,11.258946418762207,11.416809859137585,10.697685828778804,10.910982840907895,3465652400
2011-08-26,11.479174613952637,11.812074568976444,11.17097830965723,11.18212503964592,2330980400
2011-09-02,11.57286262512207,11.707529146208211,11.040824561824527,11.289670993487844,1715372400
2011-09-09,11.838584899902344,11.859674067258515,11.204116716751534,11.566541478998282,2425749200
2011-09-16,12.10550308227539,12.739369313551263,11.900943455325063,11.916308012819487,3872584800
2011-09-23,11.766580581665039,12.329346310043972,11.635227630886776,12.059110575384077,3072375600
2011-09-30,11.368904113769531,11.715964137563581,10.672074614353981,11.662639100795706,4049469200
2011-10-07,12.304648399353027,12.329351249538707,11.101387827598238,11.321011265644652,2632131600
2011-10-14,11.909378051757812,12.855055724523917,11.876239552209308,12.557705407270571,3794344400
2011-10-21,12.19196605682373,12.32181301295541,11.772000164229617,11.993431913590902,2504779200
2011-10-28,12.143163681030273,12.331757035252583,11.846415860999729,12.141054362444198,2008871200
2011-11-04,11.6054048538208,12.291691344740226,11.51291580038399,12.111834490675438,2276383200
2011-11-11,11.370115280151367,11.783754993995368,11.312573185791189,11.647280765752827,2346612800
2011-11-18,11.056192398071289,11.447838621296444,11.023655637386335,11.415603536597567,1657210800
2011-11-25,11.687043190002441,11.719278269286683,10.945625103896624,11.099271473439341,1770148800
2011-12-02,11.769289016723633,11.942517776315688,11.651794685636716,11.744283701540173,1700966400
2011-12-09,11.416208267211914,11.912094498789834,11.378248571742253,11.835270884188665,1600076800
2011-12-16,12.006993293762207,12.024467175211587,11.435188458533702,11.458988687928294,1459530800
2011-12-23,12.204920768737793,12.324524422242805,12.035308092024382,12.041333566315465,979115200
2011-12-30,12.593859672546387,12.609525104947338,12.155818045850902,12.156419788953448,1013174400
2012-01-06,12.695087432861328,12.886693571317382,12.615552748636587,12.646282680086236,1398185600
2012-01-13,12.886688232421875,12.995746098624073,12.612836460891694,12.64416892703593,1007448400
2012-01-20,13.395228385925293,13.691071157995415,12.639650729432521,12.87885645100882,2549974000
